plotnum,latitude,longitude,source,elevation,soil,si,SDI_before,SDI_after,BA_before,BA_after,Born,Treeno,Species,Old_Azimuth,Azimuth,Distance,Count,Year,Cut,Dbh,Totht,Hblc,Crcl,Merch4,Merch8,Note1,Note2,Note3,age
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1954,0,20.3,95,,1,,72,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1958,0,21,96,49.9,1,,72,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1964,0,21.9,100,62,1,94,78,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1969,0,21.9,,69,1,86,76,,,,63
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1975,0,21.9,,,,,,,,,69
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,1,131,35,,,1,1983,0,22.3,111,,1,,72,,,,77
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1954,0,17.9,92,,1,,64,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1958,0,18.8,95,45.6,1,,72,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1964,0,18.9,97,59,1,84,74,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1969,0,19.2,,68,2,88,76,,,,63
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1975,0,19.5,,,,,,,,,69
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,2,131,41,,,1,1983,0,20,111,,1,,80,,,,77
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1954,0,10.2,76,,1,,32,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1958,0,10.9,85,29.8,2,,40,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1964,0,11.6,88,69,2,74,63,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1969,0,11.9,,67,2,75,43,,,,63
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1975,0,12.4,,,,,,,,,69
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,3,131,94,,,1,1983,0,12.6,99,,2,,48,,,,77
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1954,0,12.5,80,,1,,32,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1958,0,13.2,72,20.9,1,,48,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1964,0,14.1,85,58,1,73,57,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1969,0,14.8,,63,2,70,50,,,,63
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1975,0,15.8,,,,,,,,,69
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,4,131,108,,,1,1983,0,16.7,95,,2,,56,,,,77
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1954,0,14.1,75,,1,,56,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1958,0,14.9,76,31.9,1,,56,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1964,0,15.5,87,59,1,70,54,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1969,0,15.9,,64,2,69,54,,,,63
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1975,0,16.7,,,,,,,,,69
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,5,131,119,,,1,1983,0,17,97,,2,,64,,,,77
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,6,131,120,,,1,1954,0,7,53,,3,,0,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,6,131,120,,,1,1958,0,6.8,54,9.7,4,,0,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,6,131,120,,,1,1964,0,,,,,,,8,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,7,131,129,,,1,1954,0,8.9,54,,3,,0,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,7,131,129,,,1,1958,0,9,51,11.2,3,,0,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,8,131,139,,,1,1954,0,10.6,73,,2,,24,,,,48
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,8,131,139,,,1,1958,0,11.7,75,30.8,2,,40,,,,52
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,8,131,139,,,1,1964,0,12.5,84,53,2,69,55,,,,58
1,33.02857,-83.71092,map,428,Lo,86,239,181,147,112,1906,8,131,139,,,1,1969,0,13.2,,60,2,67,48,,,,63
